Site,code
Murrumbidgee 1,m1
Murrumbidgee 2,m2
Murrumbidgee 3,m3
Murrumbidgee 4,m4
Murrumbidgee 5,m5
Murrumbidgee 6,m6
Murrumbidgee 7,m7
Yanco 1,y1
Yanco 2,y2
Yanco 3,y3
Yanco 4,y4
Yanco 5,y5
Yanco 6,y6
Yanco 7,y7
Yanco 8,y8
Yanco 9,y9
Yanco 10,y10
Yanco 11,y11
Yanco 12,y12
Yanco 13,y13
Yanco A1,YA1
Yanco A3,YA3
Yanco A4a,YA4a
Yanco A4b,YA4b
Yanco A4c,YA4c
Yanco A4d,YA4d
Yanco A4e,YA4e
Yanco A5,YA5
Yanco A7a,YA7a
Yanco A7b,YA7b
Yanco A7d,YA7d
Yanco A7e,YA7e
Yanco A9,YA9
Yanco B1,YB1
Yanco B3,YB3
Yanco B5a,YB5a
Yanco B5b,YB5b
Yanco B5d,YB5d
Yanco B5e,YB5e
Yanco B7a,YB7a
Yanco B7c,YB7c
Yanco B7d,YB7d
Yanco B7e,YB7e
Yanco B9,YB9
Kyeamba 1,k1
Kyeamba 2,k2
Kyeamba 3,k3
Kyeamba 4,k4
Kyeamba 5,k5
Kyeamba 6,k6
Kyeamba 7,k7
Kyeamba 8,k8
Kyeamba 9,k9
Kyeamba 10,k10
Kyeamba 11,k11
Kyeamba 12,k12
Kyeamba 13,k13
Kyeamba 14,k14
Adelong 1,a1
Adelong 2,a2
Adelong 3,a3
Adelong 4,a4
Adelong 5,a5
